timestamp,current_cpu_utilization,current_cpu_average_value,target_cpu_utilization,current_replicas,desired_replicas,condition_reasons
"2026-09-13T14:46:43+00:00",0,"2m",70,6,6,"AbleToScale=True:ScaleDownStabilized;ScalingActive=True:ValidMetricFound;ScalingLimited=False:DesiredWithinRange"
"2026-09-13T14:46:58+00:00",3,"18m",70,6,6,"AbleToScale=True:ScaleDownStabilized;ScalingActive=True:ValidMetricFound;ScalingLimited=False:DesiredWithinRange"
"2026-09-13T14:47:13+00:00",0,"3m",70,6,6,"AbleToScale=True:ScaleDownStabilized;ScalingActive=True:ValidMetricFound;ScalingLimited=False:DesiredWithinRange"
"2026-09-13T14:47:28+00:00",0,"4m",70,6,6,"AbleToScale=True:ScaleDownStabilized;ScalingActive=True:ValidMetricFound;ScalingLimited=False:DesiredWithinRange"
"2026-09-13T14:47:43+00:00",0,"1m",70,6,6,"AbleToScale=True:ScaleDownStabilized;ScalingActive=True:ValidMetricFound;ScalingLimited=False:DesiredWithinRange"
"2026-09-13T14:47:59+00:00",0,"1m",70,6,6,"AbleToScale=True:ScaleDownStabilized;ScalingActive=True:ValidMetricFound;ScalingLimited=False:DesiredWithinRange"
"2026-09-13T14:48:14+00:00",0,"1m",70,6,2,"AbleToScale=True:SucceededRescale;ScalingActive=True:ValidMetricFound;ScalingLimited=False:DesiredWithinRange"
"2026-09-13T14:48:29+00:00",0,"1m",70,2,2,"AbleToScale=True:ScaleDownStabilized;ScalingActive=True:ValidMetricFound;ScalingLimited=False:DesiredWithinRange"
"2026-09-13T14:48:44+00:00",0,"1m",70,2,2,"AbleToScale=True:ScaleDownStabilized;ScalingActive=True:ValidMetricFound;ScalingLimited=False:DesiredWithinRange"
"2026-09-13T14:48:58+00:00",0,"1m",70,2,2,"AbleToScale=True:ScaleDownStabilized;ScalingActive=True:ValidMetricFound;ScalingLimited=False:DesiredWithinRange"
