timestamp,desired,current,available,ready
2026-09-12T10:27:47+00:00,1,1,1,1
2026-09-12T10:28:02+00:00,1,1,1,1
2026-09-12T10:28:16+00:00,1,1,1,1
2026-09-12T10:28:32+00:00,1,1,1,1
2026-09-12T10:28:47+00:00,1,1,1,1
2026-09-12T10:29:01+00:00,1,1,1,1
2026-09-12T10:29:16+00:00,1,1,1,1
2026-09-12T10:29:32+00:00,1,1,1,1
2026-09-12T10:29:47+00:00,1,1,1,1
2026-09-12T10:30:02+00:00,1,1,1,1
2026-09-12T10:30:16+00:00,1,1,1,1
2026-09-12T10:30:32+00:00,1,1,1,1
2026-09-12T10:30:47+00:00,1,1,1,1
2026-09-12T10:31:02+00:00,1,1,1,1
2026-09-12T10:31:17+00:00,1,1,1,1
2026-09-12T10:31:32+00:00,1,1,1,1
