timestamp,current_cpu_utilization,current_cpu_average_value,target_cpu_utilization,current_replicas,desired_replicas,condition_reasons
"2026-09-13T15:58:56+00:00",0,"1m",70,1,1,"AbleToScale=True:ScaleDownStabilized;ScalingActive=True:ValidMetricFound;ScalingLimited=False:DesiredWithinRange"
"2026-09-13T15:59:11+00:00",1,"9m",70,1,1,"AbleToScale=True:ReadyForNewScale;ScalingActive=True:ValidMetricFound;ScalingLimited=False:DesiredWithinRange"
"2026-09-13T15:59:26+00:00",0,"2m",70,1,1,"AbleToScale=True:ScaleDownStabilized;ScalingActive=True:ValidMetricFound;ScalingLimited=False:DesiredWithinRange"
"2026-09-13T15:59:41+00:00",0,"1m",70,1,1,"AbleToScale=True:ScaleDownStabilized;ScalingActive=True:ValidMetricFound;ScalingLimited=False:DesiredWithinRange"
"2026-09-13T15:59:56+00:00",0,"1m",70,1,1,"AbleToScale=True:ScaleDownStabilized;ScalingActive=True:ValidMetricFound;ScalingLimited=False:DesiredWithinRange"
"2026-09-13T16:00:11+00:00",0,"1m",70,1,1,"AbleToScale=True:ScaleDownStabilized;ScalingActive=True:ValidMetricFound;ScalingLimited=False:DesiredWithinRange"
"2026-09-13T16:00:26+00:00",0,"1m",70,1,1,"AbleToScale=True:ScaleDownStabilized;ScalingActive=True:ValidMetricFound;ScalingLimited=False:DesiredWithinRange"
"2026-09-13T16:00:42+00:00",0,"1m",70,1,1,"AbleToScale=True:ScaleDownStabilized;ScalingActive=True:ValidMetricFound;ScalingLimited=False:DesiredWithinRange"
"2026-09-13T16:00:57+00:00",0,"1m",70,1,1,"AbleToScale=True:ScaleDownStabilized;ScalingActive=True:ValidMetricFound;ScalingLimited=False:DesiredWithinRange"
"2026-09-13T16:01:12+00:00",0,"1m",70,1,1,"AbleToScale=True:ScaleDownStabilized;ScalingActive=True:ValidMetricFound;ScalingLimited=False:DesiredWithinRange"
