timestamp,desired,current,available,ready
2026-09-12T10:06:24+00:00,1,1,1,1
2026-09-12T10:06:39+00:00,1,1,1,1
2026-09-12T10:06:54+00:00,1,1,1,1
2026-09-12T10:07:08+00:00,1,1,1,1
2026-09-12T10:07:24+00:00,1,1,1,1
2026-09-12T10:07:38+00:00,1,1,1,1
2026-09-12T10:07:54+00:00,1,1,1,1
2026-09-12T10:08:09+00:00,1,1,1,1
2026-09-12T10:08:24+00:00,1,1,1,1
2026-09-12T10:08:39+00:00,1,1,1,1
2026-09-12T10:08:53+00:00,1,1,1,1
2026-09-12T10:09:08+00:00,1,1,1,1
2026-09-12T10:09:24+00:00,1,1,1,1
2026-09-12T10:09:39+00:00,1,1,1,1
2026-09-12T10:09:54+00:00,1,1,1,1
2026-09-12T10:10:09+00:00,1,1,1,1
