timestamp,component,namespace,pod,container,cpu,memory
2026-09-12T10:06:24+00:00,simulator,autoscaling-lab,metronome-simulator-7dd44bf454-6dqdb,simulator,1m,133Mi
2026-09-12T10:06:24+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,1m,53Mi
2026-09-12T10:06:39+00:00,simulator,autoscaling-lab,metronome-simulator-7dd44bf454-6dqdb,simulator,1m,133Mi
2026-09-12T10:06:39+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,2m,53Mi
2026-09-12T10:06:54+00:00,simulator,autoscaling-lab,metronome-simulator-7dd44bf454-6dqdb,simulator,184m,151Mi
2026-09-12T10:06:54+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,28m,54Mi
2026-09-12T10:07:08+00:00,simulator,autoscaling-lab,metronome-simulator-7dd44bf454-6dqdb,simulator,499m,167Mi
2026-09-12T10:07:08+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,31m,54Mi
2026-09-12T10:07:23+00:00,simulator,autoscaling-lab,metronome-simulator-7dd44bf454-6dqdb,simulator,500m,172Mi
2026-09-12T10:07:24+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,37m,54Mi
2026-09-12T10:07:38+00:00,simulator,autoscaling-lab,metronome-simulator-7dd44bf454-6dqdb,simulator,501m,172Mi
2026-09-12T10:07:38+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,34m,54Mi
2026-09-12T10:07:53+00:00,simulator,autoscaling-lab,metronome-simulator-7dd44bf454-6dqdb,simulator,500m,172Mi
2026-09-12T10:07:53+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,33m,54Mi
2026-09-12T10:08:08+00:00,simulator,autoscaling-lab,metronome-simulator-7dd44bf454-6dqdb,simulator,500m,172Mi
2026-09-12T10:08:09+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,38m,54Mi
2026-09-12T10:08:24+00:00,simulator,autoscaling-lab,metronome-simulator-7dd44bf454-6dqdb,simulator,500m,174Mi
2026-09-12T10:08:24+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,40m,54Mi
2026-09-12T10:08:39+00:00,simulator,autoscaling-lab,metronome-simulator-7dd44bf454-6dqdb,simulator,501m,174Mi
2026-09-12T10:08:39+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,43m,54Mi
2026-09-12T10:08:53+00:00,simulator,autoscaling-lab,metronome-simulator-7dd44bf454-6dqdb,simulator,499m,178Mi
2026-09-12T10:08:53+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,42m,54Mi
2026-09-12T10:09:08+00:00,simulator,autoscaling-lab,metronome-simulator-7dd44bf454-6dqdb,simulator,500m,177Mi
2026-09-12T10:09:08+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,40m,54Mi
2026-09-12T10:09:23+00:00,simulator,autoscaling-lab,metronome-simulator-7dd44bf454-6dqdb,simulator,500m,178Mi
2026-09-12T10:09:23+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,42m,54Mi
2026-09-12T10:09:38+00:00,simulator,autoscaling-lab,metronome-simulator-7dd44bf454-6dqdb,simulator,501m,178Mi
2026-09-12T10:09:38+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,43m,54Mi
2026-09-12T10:09:53+00:00,simulator,autoscaling-lab,metronome-simulator-7dd44bf454-6dqdb,simulator,501m,178Mi
2026-09-12T10:09:54+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,43m,54Mi
2026-09-12T10:10:08+00:00,simulator,autoscaling-lab,metronome-simulator-7dd44bf454-6dqdb,simulator,4m,177Mi
2026-09-12T10:10:09+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,16m,53Mi
