scheduled_at,sample_started_at,sample_ended_at,sample_number,status,simulator_resources,locust_resources,replicas,simulator_pods,throttling
2026-09-12T10:06:23+00:00,2026-09-12T10:06:23+00:00,2026-09-12T10:06:24+00:00,1,ok,ok,ok,ok,ok,ok
2026-09-12T10:06:38+00:00,2026-09-12T10:06:38+00:00,2026-09-12T10:06:39+00:00,2,ok,ok,ok,ok,ok,ok
2026-09-12T10:06:53+00:00,2026-09-12T10:06:53+00:00,2026-09-12T10:06:55+00:00,3,ok,ok,ok,ok,ok,ok
2026-09-12T10:07:08+00:00,2026-09-12T10:07:08+00:00,2026-09-12T10:07:09+00:00,4,ok,ok,ok,ok,ok,ok
2026-09-12T10:07:23+00:00,2026-09-12T10:07:23+00:00,2026-09-12T10:07:25+00:00,5,ok,ok,ok,ok,ok,ok
2026-09-12T10:07:38+00:00,2026-09-12T10:07:38+00:00,2026-09-12T10:07:39+00:00,6,ok,ok,ok,ok,ok,ok
2026-09-12T10:07:53+00:00,2026-09-12T10:07:53+00:00,2026-09-12T10:07:54+00:00,7,ok,ok,ok,ok,ok,ok
2026-09-12T10:08:08+00:00,2026-09-12T10:08:08+00:00,2026-09-12T10:08:09+00:00,8,ok,ok,ok,ok,ok,ok
2026-09-12T10:08:23+00:00,2026-09-12T10:08:23+00:00,2026-09-12T10:08:24+00:00,9,ok,ok,ok,ok,ok,ok
2026-09-12T10:08:38+00:00,2026-09-12T10:08:38+00:00,2026-09-12T10:08:40+00:00,10,ok,ok,ok,ok,ok,ok
2026-09-12T10:08:53+00:00,2026-09-12T10:08:53+00:00,2026-09-12T10:08:54+00:00,11,ok,ok,ok,ok,ok,ok
2026-09-12T10:09:08+00:00,2026-09-12T10:09:08+00:00,2026-09-12T10:09:09+00:00,12,ok,ok,ok,ok,ok,ok
2026-09-12T10:09:23+00:00,2026-09-12T10:09:23+00:00,2026-09-12T10:09:24+00:00,13,ok,ok,ok,ok,ok,ok
2026-09-12T10:09:38+00:00,2026-09-12T10:09:38+00:00,2026-09-12T10:09:39+00:00,14,ok,ok,ok,ok,ok,ok
2026-09-12T10:09:53+00:00,2026-09-12T10:09:53+00:00,2026-09-12T10:09:54+00:00,15,ok,ok,ok,ok,ok,ok
2026-09-12T10:10:08+00:00,2026-09-12T10:10:08+00:00,2026-09-12T10:10:09+00:00,16,ok,ok,ok,ok,ok,ok
