timestamp,component,namespace,pod,container,cpu,memory
2026-09-12T10:14:31+00:00,simulator,autoscaling-lab,metronome-simulator-7dd44bf454-6dqdb,simulator,1m,141Mi
2026-09-12T10:14:31+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,2m,52Mi
2026-09-12T10:14:45+00:00,simulator,autoscaling-lab,metronome-simulator-7dd44bf454-6dqdb,simulator,1m,141Mi
2026-09-12T10:14:45+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,3m,52Mi
2026-09-12T10:15:00+00:00,simulator,autoscaling-lab,metronome-simulator-7dd44bf454-6dqdb,simulator,290m,156Mi
2026-09-12T10:15:00+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,44m,52Mi
2026-09-12T10:15:16+00:00,simulator,autoscaling-lab,metronome-simulator-7dd44bf454-6dqdb,simulator,499m,163Mi
2026-09-12T10:15:16+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,40m,52Mi
2026-09-12T10:15:30+00:00,simulator,autoscaling-lab,metronome-simulator-7dd44bf454-6dqdb,simulator,500m,165Mi
2026-09-12T10:15:30+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,44m,53Mi
2026-09-12T10:15:45+00:00,simulator,autoscaling-lab,metronome-simulator-7dd44bf454-6dqdb,simulator,500m,165Mi
2026-09-12T10:15:45+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,43m,52Mi
2026-09-12T10:16:00+00:00,simulator,autoscaling-lab,metronome-simulator-7dd44bf454-6dqdb,simulator,500m,165Mi
2026-09-12T10:16:00+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,39m,52Mi
2026-09-12T10:16:15+00:00,simulator,autoscaling-lab,metronome-simulator-7dd44bf454-6dqdb,simulator,500m,167Mi
2026-09-12T10:16:15+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,43m,53Mi
2026-09-12T10:16:30+00:00,simulator,autoscaling-lab,metronome-simulator-7dd44bf454-6dqdb,simulator,501m,167Mi
2026-09-12T10:16:31+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,44m,52Mi
2026-09-12T10:16:46+00:00,simulator,autoscaling-lab,metronome-simulator-7dd44bf454-6dqdb,simulator,499m,168Mi
2026-09-12T10:16:46+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,43m,52Mi
2026-09-12T10:17:00+00:00,simulator,autoscaling-lab,metronome-simulator-7dd44bf454-6dqdb,simulator,501m,168Mi
2026-09-12T10:17:00+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,44m,53Mi
2026-09-12T10:17:15+00:00,simulator,autoscaling-lab,metronome-simulator-7dd44bf454-6dqdb,simulator,501m,168Mi
2026-09-12T10:17:16+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,44m,53Mi
2026-09-12T10:17:31+00:00,simulator,autoscaling-lab,metronome-simulator-7dd44bf454-6dqdb,simulator,500m,168Mi
2026-09-12T10:17:31+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,41m,52Mi
2026-09-12T10:17:46+00:00,simulator,autoscaling-lab,metronome-simulator-7dd44bf454-6dqdb,simulator,395m,168Mi
2026-09-12T10:17:46+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,40m,52Mi
2026-09-12T10:18:01+00:00,simulator,autoscaling-lab,metronome-simulator-7dd44bf454-6dqdb,simulator,2m,168Mi
2026-09-12T10:18:01+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,1m,52Mi
2026-09-12T10:18:16+00:00,simulator,autoscaling-lab,metronome-simulator-7dd44bf454-6dqdb,simulator,3m,168Mi
2026-09-12T10:18:16+00:00,locust,load-testing,metronome-load-test-7c6bb54d47-nbj96,locust,2m,52Mi
