scheduled_at,sample_started_at,sample_ended_at,sample_number,status,simulator_resources,locust_resources,replicas,simulator_pods,throttling
2026-09-12T10:14:30+00:00,2026-09-12T10:14:30+00:00,2026-09-12T10:14:32+00:00,1,ok,ok,ok,ok,ok,ok
2026-09-12T10:14:45+00:00,2026-09-12T10:14:45+00:00,2026-09-12T10:14:46+00:00,2,ok,ok,ok,ok,ok,ok
2026-09-12T10:15:00+00:00,2026-09-12T10:15:00+00:00,2026-09-12T10:15:01+00:00,3,ok,ok,ok,ok,ok,ok
2026-09-12T10:15:15+00:00,2026-09-12T10:15:15+00:00,2026-09-12T10:15:17+00:00,4,ok,ok,ok,ok,ok,ok
2026-09-12T10:15:30+00:00,2026-09-12T10:15:30+00:00,2026-09-12T10:15:31+00:00,5,ok,ok,ok,ok,ok,ok
2026-09-12T10:15:45+00:00,2026-09-12T10:15:45+00:00,2026-09-12T10:15:46+00:00,6,ok,ok,ok,ok,ok,ok
2026-09-12T10:16:00+00:00,2026-09-12T10:16:00+00:00,2026-09-12T10:16:01+00:00,7,ok,ok,ok,ok,ok,ok
2026-09-12T10:16:15+00:00,2026-09-12T10:16:15+00:00,2026-09-12T10:16:16+00:00,8,ok,ok,ok,ok,ok,ok
2026-09-12T10:16:30+00:00,2026-09-12T10:16:30+00:00,2026-09-12T10:16:31+00:00,9,ok,ok,ok,ok,ok,ok
2026-09-12T10:16:45+00:00,2026-09-12T10:16:45+00:00,2026-09-12T10:16:47+00:00,10,ok,ok,ok,ok,ok,ok
2026-09-12T10:17:00+00:00,2026-09-12T10:17:00+00:00,2026-09-12T10:17:01+00:00,11,ok,ok,ok,ok,ok,ok
2026-09-12T10:17:15+00:00,2026-09-12T10:17:15+00:00,2026-09-12T10:17:16+00:00,12,ok,ok,ok,ok,ok,ok
2026-09-12T10:17:30+00:00,2026-09-12T10:17:30+00:00,2026-09-12T10:17:31+00:00,13,ok,ok,ok,ok,ok,ok
2026-09-12T10:17:45+00:00,2026-09-12T10:17:45+00:00,2026-09-12T10:17:46+00:00,14,ok,ok,ok,ok,ok,ok
2026-09-12T10:18:00+00:00,2026-09-12T10:18:00+00:00,2026-09-12T10:18:01+00:00,15,ok,ok,ok,ok,ok,ok
2026-09-12T10:18:15+00:00,2026-09-12T10:18:15+00:00,2026-09-12T10:18:16+00:00,16,ok,ok,ok,ok,ok,ok
