timestamp,desired,current,available,ready
2026-09-12T10:14:31+00:00,1,1,1,1
2026-09-12T10:14:45+00:00,1,1,1,1
2026-09-12T10:15:01+00:00,1,1,1,1
2026-09-12T10:15:16+00:00,1,1,1,1
2026-09-12T10:15:30+00:00,1,1,1,1
2026-09-12T10:15:45+00:00,1,1,1,1
2026-09-12T10:16:01+00:00,1,1,1,1
2026-09-12T10:16:16+00:00,1,1,1,1
2026-09-12T10:16:31+00:00,1,1,1,1
2026-09-12T10:16:46+00:00,1,1,1,1
2026-09-12T10:17:01+00:00,1,1,1,1
2026-09-12T10:17:16+00:00,1,1,1,1
2026-09-12T10:17:31+00:00,1,1,1,1
2026-09-12T10:17:46+00:00,1,1,1,1
2026-09-12T10:18:01+00:00,1,1,1,1
2026-09-12T10:18:16+00:00,1,1,1,1
